id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
99ª Reunião Ordinária do Conselho de Graduação (CoG),12994.0,3,2.8701,6.0,,0,0
Quero saber – Qual o caminho da felicidade?,703.0,52,2.8671,0.84,,1,0
Quero saber - Como combater o etarismo?,144.0,138,2.851,5.78,,0,0
Quero saber - O que é a região Neotropical?,199.0,85,2.8369,4.67,,2,0
Quero saber - Como combater a transfobia?,179.0,116,2.8141,3.45,,1,0
Boletim de Oportunidades – 3ª Chamada do Proeduca - Denise Silva Vilela,213.0,154,2.8026,0.79,,1,0
"Sentir ou não sentir...: sinal, sensor e significado em materiais e no corpo humano",5572.0,171,2.7773,1.56,,1,0
Formatura Campus São Carlos - CCBS I - 27/05/2024,168.0,148,2.7453,0.0,,0,0
Quero saber - Quais são os sintomas e as formas de diagnóstico e de recuperação?,198.0,268,2.7427,2.51,,1,0
Quero saber - Como e quando surgiu o ecoturismo?,292.0,57,2.6557,4.59,,1,0
Redução de danos e combate às violências nas festas universitárias,3788.0,18,2.6459,3.7,,0,0
Boletim de Oportunidades-Egresso da UFSCar fala sobre a importância do PIPE-Fapesp para sua empresa,166.0,140,2.6272,1.44,,1,0
Reunião Extraordinária do Conselho Universitário 07/12  - ConsUni UFSCar,8978.0,6,2.5959,0.83,,0,0
148º Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,10899.0,6,2.5772,0.0,,0,0
Próxima Gestão: Reitora e Vice-Reitora são indicadas pelo Colégio Eleitoral,653.0,67,2.5627,0.59,,1,0
Fazenda Produtiva - UFSCar Lagoa do Sino,166.0,125,2.5535,9.47,,1,0
27 anos da Biblioteca Comunitária da UFSCar,367.0,93,2.518,8.79,,1,0
151ª Reunião Ordinária do conselho de Pós-Graduação | CoPG UFSCar,8189.0,9,2.4827,0.48,,0,0
Eleição para discentes no CoG - Apuração,466.0,111,2.4776,0.9,,-1,0
Parcerias entre Universidade e Empresas resultam em Inovações para a sociedade,385.0,72,2.4665,4.14,,0,0
21ª Edição da Feira de Oportunidades mobiliza 3 mil pessoas,317.0,154,2.4624,0.58,,0,0
IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Mesa 5,7350.0,10,2.4342,1.6,,0,0
147ª Reunião Ordinária do CoPG | UFSCar,8287.0,9,2.3977,4.82,,0,0
VOCÊ NA UFSCAR –  CONHEÇA O SiSU,93.0,138,2.3448,5.22,,0,0
Formatura Campus São Carlos - CCBS III - 27/05/2024,156.0,119,2.3188,,,0,0
Formatura Campus Lagoa do Sino - 29/06/2024,287.0,84,2.3029,0.0,,3,0
Professora Arlene Corrêa fala sobre o PITE-Fapesp,198.0,121,2.2982,1.55,,1,0
Reunião do Conselho de Administração (CoAd),8592.0,40,2.2915,10.61,,0,0
Sessão solene de outorga do título de Doutor Honoris Causa a Dermeval Saviani,9120.0,13,2.2878,3.53,,0,0
Transfobia não cabe na UFSCar,131.0,120,2.2372,1.41,,1,0
Quero saber – Como combater o machismo?,74.0,276,2.2328,7.01,,1,0
"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes",90.0,189,2.1241,1.96,,2,0
EdUFSCar no Ar #5,4150.0,24,2.1158,9.62,,1,0
"Mesa Redonda ""Saúde Mental  Antirracista"" | Novembro Negro UFSCar",10807.0,18,2.1138,3.25,,1,0
2a. Conferência do ciclo “Universidade para o Futuro:  Juventudes: novos desafios do conhecimento.,9843.0,30,2.1026,3.58,,0,0
Quero saber – Idade é documento?,909.0,140,2.0847,0.0,,2,0
Trilhas da Inovação - Ep.1 - Primeiros passos para registrar uma patente,349.0,82,2.079,3.78,,0,0
Grupos da UFSCar é selecionado para apresentação sobre ciência em evento internacional,340.0,49,2.042,1.42,,2,0
Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,59.0,221,2.0264,2.87,65.98,1,0
150ª Reunião do Conselho de Pós-Graduação | CoPG UFSCar,5642.0,8,2.0202,4.26,,0,0
Tutorial: como solicitar o uso do nome social na UFSCar,82.0,212,2.0132,7.25,,1,0
