Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
 -q8lNNmqK9Y,#14 – Estudo avalia riscos trazidos por obesidade abdominal e perda de força muscular em idosos,"Feb 15, 2022",1457,11,0:07:00,,,,,11,1.2846,0,243,2.47
5nLZL6w3ru0,Max y sus amigos en: Descubriendo el Mar - Episodio 2 – Plástico camino al mar,"May 8, 2024",906,35,0:02:11,,,,,35,1.275,0,1254,1.2
rKzS3y8XGyY,UFSCar realiza Feira de Oportunidades,"Jul 4, 2023",269,38,0:02:00,,,,,38,1.2723,0,481,4.16
LMVzkIcC36A,Formatura Campus São Carlos - CCET II - 28/05/2024,,243,62,0:01:13,,,,,62,1.2634,0,10,10
VPx-sqhdjSo,VOCÊ NA UFSCAR -  TEM RESERVA DE VAGAS?,"Apr 28, 2023",126,63,0:01:11,,,,,63,1.2581,0,400,5.25
rz-Eau8FO-s,275ª Reunião Ordinária do Conselho Universitário - continuação,"Feb 23, 2024",13447,11,0:06:45,,,,,11,1.2379,0,341,1.76
C2LAkLzhY-Q,Anaí Floriano Vasconcelos,"Feb 8, 2023",210,53,0:01:23,,,,,53,1.2314,0,121,1.65
Qml2fRnc0Uo,Depoimento Alex Kreibich - Transformação,"Feb 27, 2023",432,26,0:02:50,,,,,26,1.229,0,106,2.83
h21bsHaw55U,Quero saber - O ecoturismo é um modo diferente de fazer turismo?,"Jan 16, 2024",189,34,0:02:06,,,,,34,1.1922,0,366,0.27
GK458G8wKdY,Formatura Campus São Carlos - CECH I - 29/05/2024,,211,64,0:01:06,,,,,64,1.189,0,6,0
hWjB2hc0SDA,Idiomas sem Fronteiras - Português para Estrangeiros,"Apr 11, 2023",195,54,0:01:17,,,,,54,1.1692,2,352,2.27
PbtwMw5ItKc,Conexão Federal - Dor Crônica: Mariana Avila,"Sep 25, 2023",3839,42,0:01:38,,,,,42,1.1543,0,383,1.83
